# GD50  03:48:50.06 -00:58:30.4  (type DA2)
 1777.40   12.287   1.20
 1778.60   12.285   1.20
 1779.80   12.306   1.20
 1781.00   12.339   1.20
 1782.20   12.333   1.20
 1783.40   12.325   1.20
 1784.60   12.333   1.20
 1785.80   12.320   1.20
 1787.00   12.311   1.00
 1788.00   12.326   1.20
 1789.20   12.330   1.20
 1790.40   12.322   1.20
 1791.60   12.328   1.20
 1792.80   12.333   1.20
 1794.00   12.329   1.20
 1795.20   12.342   1.20
 1796.40   12.348   1.20
 1797.60   12.356   1.20
 1798.80   12.346   1.00
 1799.80   12.350   1.20
 1801.00   12.357   1.20
 1802.20   12.341   1.20
 1803.40   12.295   1.20
 1804.60   12.298   1.20
 1805.80   12.292   1.20
 1807.00   12.293   1.20
 1808.20   12.306   1.20
 1809.40   12.315   1.20
 1810.60   12.327   1.00
 1811.60   12.338   1.20
 1812.80   12.335   1.20
 1814.00   12.335   1.20
 1815.20   12.332   1.20
 1816.40   12.328   1.20
 1817.60   12.329   1.20
 1818.80   12.316   1.20
 1820.00   12.310   1.20
 1821.20   12.308   1.20
 1822.40   12.309   1.00
 1823.40   12.353   1.20
 1824.60   12.356   1.20
 1825.80   12.352   1.20
 1827.00   12.338   1.20
 1828.20   12.331   1.20
 1829.40   12.338   1.20
 1830.60   12.352   1.20
 1831.80   12.363   1.20
 1833.00   12.353   1.00
 1834.00   12.352   1.20
 1835.20   12.347   1.20
 1836.40   12.350   1.20
 1837.60   12.313   1.20
 1838.80   12.305   1.20
 1840.00   12.332   1.20
 1841.20   12.347   1.20
 1842.40   12.350   1.20
 1843.60   12.355   1.20
 1844.80   12.344   1.00
 1845.80   12.323   1.20
 1847.00   12.314   1.20
 1848.20   12.310   1.20
 1849.40   12.326   1.20
 1850.60   12.341   1.20
 1851.80   12.375   1.20
 1853.00   12.391   1.20
 1854.20   12.400   1.20
 1855.40   12.409   1.20
 1856.60   12.384   1.00
 1857.60   12.351   1.20
 1858.80   12.347   1.20
 1860.00   12.354   1.20
 1861.20   12.360   1.20
 1862.40   12.362   1.20
 1863.60   12.368   1.20
 1864.80   12.373   1.20
 1866.00   12.385   1.20
 1867.20   12.380   1.20
 1868.40   12.349   1.00
 1869.40   12.346   1.20
 1870.60   12.345   1.20
 1871.80   12.353   1.20
 1873.00   12.374   1.20
 1874.20   12.386   1.20
 1875.40   12.395   1.20
 1876.60   12.419   1.20
 1877.80   12.417   1.20
 1879.00   12.411   1.20
 1880.20   12.393   1.00
 1881.20   12.379   1.20
 1882.40   12.374   1.20
 1883.60   12.413   1.20
 1884.80   12.435   1.20
 1886.00   12.433   1.20
 1887.20   12.429   1.20
 1888.40   12.415   1.20
 1889.60   12.400   1.20
 1890.80   12.399   1.20
 1892.00   12.394   1.00
 1893.00   12.419   1.20
 1894.20   12.430   1.20
 1895.40   12.419   1.20
 1896.60   12.412   1.20
 1897.80   12.419   1.20
 1899.00   12.427   1.20
 1900.20   12.444   1.20
 1901.40   12.458   1.20
 1902.60   12.460   1.20
 1903.80   12.463   1.00
 1904.80   12.473   1.20
 1906.00   12.469   1.20
 1907.20   12.464   1.20
 1908.40   12.434   1.20
 1909.60   12.436   1.20
 1910.80   12.433   1.20
 1912.00   12.448   1.20
 1913.20   12.449   1.20
 1914.40   12.469   1.20
 1915.60   12.468   1.00
 1916.60   12.472   1.20
 1917.80   12.468   1.20
 1919.00   12.472   1.20
 1920.20   12.455   1.20
 1921.40   12.446   1.20
 1922.60   12.424   1.20
 1923.80   12.422   1.20
 1925.00   12.425   1.20
 1926.20   12.473   1.20
 1927.40   12.462   1.00
 1928.40   12.441   1.20
 1929.60   12.410   1.20
 1930.80   12.419   1.20
 1932.00   12.429   1.20
 1933.20   12.462   1.20
 1934.40   12.458   1.20
 1935.60   12.469   1.20
 1936.80   12.483   1.20
 1938.00   12.499   1.00
 1939.00   12.493   1.20
 1940.20   12.480   1.20
 1941.40   12.461   1.20
 1942.60   12.470   1.20
 1943.80   12.471   1.20
 1945.00   12.465   1.20
 1946.20   12.443   1.20
 1947.40   12.424   1.20
 1948.60   12.422   1.20
 1949.80   12.444   1.00
 1950.80   12.447   1.20
 1952.00   12.442   1.20
 1953.20   12.435   1.20
 1954.40   12.437   1.20
 1955.60   12.431   1.20
 1956.80   12.440   1.20
 1958.00   12.460   1.20
 1959.20   12.450   1.20
 1960.40   12.454   1.20
 1961.60   12.466   1.00
 1962.60   12.454   1.20
 1963.80   12.467   1.20
 1965.00   12.475   1.20
 1966.20   12.489   1.20
 1967.40   12.499   1.20
 1968.60   12.489   1.20
 1969.80   12.482   0.40
 1970.20   12.655   1.80
 1972.00   12.545   1.80
 1973.80   12.486   2.00
 1975.80   12.481   1.80
 1977.60   12.564   1.80
 1979.40   12.583   2.00
 1981.40   12.402   1.80
 1983.20   12.337   1.80
 1985.00   12.434   2.00
 1987.00   12.478   1.80
 1988.80   12.569   1.80
 1990.60   12.649   2.00
 1992.60   12.627   1.80
 1994.40   12.496   1.80
 1996.20   12.592   2.00
 1998.20   12.690   2.45
 2000.65   12.541   1.80
 2002.45   12.550   2.00
 2004.45   12.491   1.80
 2006.25   12.556   1.80
 2008.05   12.594   2.00
 2010.05   12.567   1.80
 2011.85   12.523   2.00
 2013.85   12.447   1.80
 2015.65   12.465   1.80
 2017.45   12.530   2.00
 2019.45   12.586   1.80
 2021.25   12.612   1.80
 2023.05   12.478   2.00
 2025.05   12.564   1.80
 2026.85   12.558   1.80
 2028.65   12.481   2.00
 2030.65   12.412   1.80
 2032.45   12.492   1.80
 2034.25   12.494   2.00
 2036.25   12.481   1.80
 2038.05   12.588   1.80
 2039.85   12.707   2.00
 2041.85   12.510   1.81
 2043.66   12.474   1.80
 2045.46   12.524   2.00
 2047.46   12.445   1.80
 2049.26   12.446   1.80
 2051.06   12.586   2.00
 2053.06   12.614   1.80
 2054.86   12.491   1.80
 2056.66   12.421   2.00
 2058.66   12.445   1.80
 2060.46   12.458   2.00
 2062.46   12.587   1.80
 2064.26   12.643   1.80
 2066.06   12.548   2.00
 2068.06   12.575   1.80
 2069.86   12.502   1.80
 2071.66   12.461   2.00
 2073.66   12.564   1.80
 2075.46   12.514   1.80
 2077.26   12.430   2.00
 2079.26   12.471   1.80
 2081.06   12.534   1.80
 2082.86   12.569   2.00
 2084.86   12.439   1.80
 2086.66   12.472   1.80
 2088.46   12.609   2.00
 2090.46   12.673   1.80
 2092.26   12.520   1.80
